,Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
76,9971,Jake Allsmiller,SO,2015-16,G,Georgia Southern,Sun Belt,31,833,26.9,2.4,7.1,0.3,0.8,2.1,6.4,0.9,1.0,0.3,1.5,1.7,1.2,0.6,0.2,0.8,2.4,7.8,9.3,.512,.482,1.1,6.0,3.4,8.5,1.3,1.0,10.0,15.0,223,107.8,109.9,0.9,0.6,1.5,0.3,-2.1,-1.8
77,9972,Trae Anderson,SR,2015-16,G,Eastern Illinois,OVC,30,711,23.7,5.7,11.9,5.5,10.8,0.2,1.1,3.1,4.7,1.5,3.7,5.2,1.8,1.0,0.7,2.8,3.0,14.7,22.0,.520,.486,7.2,17.7,12.4,19.3,2.6,3.5,16.7,36.7,415,97.0,102.0,0.7,1.0,1.7,-2.2,0.4,-1.8
78,9973,Aaric Armstead,FR,2013-14,G,Northern Illinois,MAC,30,766,25.5,2.7,7.0,2.2,5.0,0.5,2.0,1.7,2.6,1.5,2.6,4.1,0.4,1.0,0.4,1.7,1.9,7.7,11.5,.468,.427,6.7,12.0,9.3,4.4,2.5,2.0,17.1,20.3,219,92.9,97.5,0.1,1.5,1.6,-3.4,1.5,-1.8
79,9974,Jacoby Armstrong,SO,2014-15,F,New Hampshire,AEC,32,785,24.5,3.9,7.5,3.8,7.2,0.1,0.3,2.1,3.3,1.5,2.6,4.1,1.1,0.4,0.5,1.7,3.2,9.9,16.3,.543,.519,7.6,12.1,9.9,10.5,0.9,2.4,15.7,23.8,305,104.1,96.3,1.2,1.5,2.7,-1.8,-0.1,-1.8
80,9975,Devon Baker,SR,2010-11,G,Northwestern State,Southland,32,875,27.3,4.5,11.2,2.4,6.1,2.1,5.1,4.3,5.6,0.8,1.7,2.4,2.0,1.5,0.0,2.2,2.4,15.5,19.9,.560,.499,2.9,6.5,4.7,15.7,2.9,0.0,13.7,26.7,456,113.3,106.4,2.5,0.7,3.2,3.1,-4.9,-1.8
81,9976,Diante Baldwin,SO,2014-15,G,North Carolina-Greensboro,Southern,25,800,32.0,3.6,8.8,3.1,7.1,0.5,1.7,2.4,3.7,1.0,3.4,4.4,3.5,1.7,0.4,2.4,3.0,10.2,14.7,.483,.443,3.6,12.7,8.0,21.3,3.1,1.4,18.3,20.7,277,98.4,104.1,0.7,0.9,1.6,-1.8,0.0,-1.8
82,9977,Marco Banegas-Flores,SR,2014-15,G,Massachusetts-Lowell,AEC,27,747,27.7,2.3,6.1,1.1,3.0,1.1,3.0,1.7,2.1,0.3,2.2,2.5,1.9,1.9,0.0,2.0,1.9,7.4,12.1,.525,.473,1.5,10.5,5.8,16.0,4.1,0.2,22.3,18.4,203,92.4,99.6,0.2,1.2,1.3,-2.3,0.5,-1.8
83,9978,Tevin Baskin,JR,2012-13,F,Appalachian State,Southern,31,628,20.3,3.5,7.3,3.2,6.5,0.3,0.7,2.6,3.7,1.4,2.7,4.1,0.3,0.9,1.1,0.9,2.8,9.9,23.4,.550,.504,7.6,17.8,12.3,2.9,2.7,5.5,9.1,24.7,278,113.7,99.8,1.8,0.8,2.6,-1.0,-0.9,-1.8
84,9979,Keegan Bell,JR,2010-11,G,Chattanooga,Southern,32,1105,34.5,3.2,8.7,1.2,2.5,1.9,6.3,1.4,2.0,0.8,2.5,3.3,5.7,0.9,0.0,2.4,1.8,9.7,12.8,.502,.473,2.4,8.2,5.3,33.2,1.4,0.1,20.0,17.0,370,105.6,107.9,1.6,0.8,2.3,0.7,-2.5,-1.8
85,9980,Jvonte Brooks,FR,2011-12,F,Dartmouth,Ivy,30,847,28.2,2.7,5.7,2.7,5.6,0.0,0.1,4.0,5.1,2.2,4.4,6.6,1.1,0.5,0.2,2.2,3.3,9.4,16.0,.575,.468,9.5,20.8,14.9,10.1,1.0,1.0,21.5,20.3,291,105.5,101.1,1.4,1.1,2.5,-1.3,-0.6,-1.8
