,Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
0,1,Anthony Davis,FR,2011-12,F,Kentucky,SEC,40,1281,32.0,5.3,8.4,5.2,7.9,0.1,0.5,3.6,5.1,3.0,7.4,10.4,1.3,1.4,4.7,1.0,2.0,14.2,35.1,.654,.628,11.6,25.6,19.0,7.5,2.5,13.7,8.6,18.8,550,139.0,80.7,5.9,4.1,9.9,7.8,10.8,18.7
1,2,Karl-Anthony Towns,FR,2014-15,F,Kentucky,SEC,39,822,21.1,3.7,6.6,3.7,6.4,0.1,0.2,2.8,3.4,2.4,4.3,6.7,1.1,0.5,2.3,1.4,2.9,10.3,31.4,.627,.570,14.2,22.3,18.5,11.6,1.4,11.5,14.2,23.7,391,126.8,78.1,3.5,2.9,6.4,6.5,10.8,17.3
2,3,Victor Oladipo,JR,2012-13,G,Indiana,Big Ten,36,1021,28.4,5.1,8.4,4.2,6.6,0.8,1.9,2.7,3.6,2.6,3.7,6.3,2.1,2.2,0.8,2.3,2.5,13.6,28.9,.671,.648,11.8,15.1,13.5,15.2,4.6,2.8,18.5,22.2,478,125.7,87.3,4.2,2.6,6.7,9.7,7.3,17.0
3,4,Denzel Valentine,SR,2015-16,G,Michigan State,Big Ten,31,1022,33.0,6.6,14.3,3.3,6.8,3.4,7.5,2.6,3.1,0.8,6.7,7.5,7.8,1.0,0.2,2.7,1.7,19.2,29.7,.608,.579,3.0,21.2,12.8,45.8,1.9,0.7,14.8,28.4,622,127.2,94.0,5.0,2.2,7.3,12.2,4.4,16.5
4,5,Sindarius Thornwell,SR,2016-17,G,South Carolina,SEC,31,1051,33.9,6.3,14.1,4.4,9.4,1.9,4.7,6.9,8.4,2.5,4.6,7.2,2.8,2.1,1.0,2.5,2.3,21.4,30.3,.591,.511,8.1,16.1,12.0,19.3,3.6,3.4,11.9,29.5,637,122.1,88.8,4.4,2.8,7.2,9.5,6.7,16.2
5,6,Delon Wright,SR,2014-15,G,Utah,Pac-12,35,1165,33.3,4.7,9.3,4.0,7.2,0.7,2.1,4.4,5.2,1.0,4.0,4.9,5.1,2.1,1.0,1.9,1.4,14.5,29.2,.619,.549,4.0,13.7,9.3,33.0,4.0,3.2,14.2,22.8,558,129.8,87.7,5.3,3.1,8.4,8.8,7.4,16.2
6,7,Ethan Happ,SO,2016-17,F,Wisconsin,Big Ten,37,1033,27.9,5.9,10.0,5.9,10.0,0.0,0.0,2.2,4.4,3.2,5.8,9.0,2.8,1.8,1.2,2.2,2.8,14.0,31.5,.577,.588,13.3,25.2,19.1,23.3,4.0,4.7,15.2,26.6,534,116.5,86.5,3.4,3.0,6.4,6.5,9.3,15.8
7,8,Frank Kaminsky,SR,2014-15,C,Wisconsin,Big Ten,39,1311,33.6,6.8,12.5,5.8,9.9,1.1,2.6,4.0,5.1,1.5,6.7,8.2,2.6,0.8,1.5,1.6,1.7,18.8,34.4,.628,.590,6.0,25.7,16.1,18.4,1.7,4.5,9.8,28.6,691,129.6,92.6,6.9,2.9,9.8,9.5,5.8,15.3
8,9,Gorgui Dieng,JR,2012-13,C,Louisville,Big East,33,1026,31.1,3.8,7.1,3.8,7.1,0.0,0.0,2.2,3.4,3.4,6.0,9.4,2.0,1.3,2.5,1.8,2.6,9.8,23.8,.562,.534,12.9,23.6,18.1,12.3,2.6,9.4,17.0,17.0,352,115.9,81.9,2.5,3.2,5.6,4.0,11.0,15.0
9,10,Willie Cauley-Stein,SO,2013-14,F,Kentucky,SEC,37,880,23.8,2.9,4.8,2.9,4.8,0.0,0.0,1.1,2.2,2.5,3.5,6.1,0.7,1.2,2.9,0.8,2.6,6.8,23.6,.580,.596,12.6,16.3,14.5,5.7,3.0,12.3,12.5,14.1,260,122.8,91.5,1.9,2.2,4.1,4.1,10.8,14.9
10,11,Joel Embiid,FR,2013-14,C,Kansas,Big 12,28,647,23.1,3.8,6.1,3.8,5.9,0.0,0.2,3.5,5.1,2.3,5.8,8.1,1.4,0.9,2.6,2.4,3.4,11.2,28.2,.655,.629,12.7,27.3,20.5,11.5,2.3,11.7,21.6,23.4,307,116.6,90.9,1.8,1.7,3.4,4.7,10.2,14.9
11,12,Willie Cauley-Stein,JR,2014-15,F,Kentucky,SEC,39,1012,25.9,3.5,6.1,3.5,6.1,0.0,0.0,2.0,3.3,2.3,4.2,6.4,1.0,1.2,1.7,1.2,2.0,8.9,23.8,.588,.572,11.1,17.3,14.5,7.4,2.9,7.1,13.9,17.8,344,119.8,80.0,2.6,3.4,6.0,4.7,10.0,14.7
12,13,Jae Crowder,SR,2011-12,F,Marquette,Big East,35,1153,32.9,6.2,12.5,4.5,7.4,1.7,5.1,3.4,4.6,2.0,6.4,8.4,2.1,2.5,1.0,1.3,2.7,17.5,28.8,.598,.568,7.0,22.6,14.7,13.5,4.3,3.1,7.9,23.4,551,125.7,85.9,4.5,3.1,7.6,8.8,5.9,14.7
13,14,Thomas Walkup,SR,2015-16,G,Stephen F. Austin,Southland,34,1002,29.5,6.4,10.9,6.1,9.7,0.3,1.1,5.0,6.1,2.3,4.5,6.9,4.5,2.1,0.5,1.7,2.7,18.1,34.8,.656,.602,9.2,18.6,13.8,30.7,4.1,1.8,11.0,25.7,623,137.9,86.8,5.8,2.9,8.7,9.3,4.7,14.1
14,15,Anas Mahmoud,JR,2016-17,F,Louisville,ACC,31,580,18.7,2.5,3.9,2.5,3.9,0.0,0.0,0.8,1.7,1.5,2.5,4.0,0.8,0.9,2.1,1.1,2.6,5.7,20.8,.600,.623,9.0,14.6,11.8,8.0,2.7,12.6,19.3,15.4,177,111.7,89.6,0.9,1.5,2.4,2.3,11.7,14.0
15,16,Chinanu Onuaku,SO,2015-16,F,Louisville,ACC,31,762,24.6,4.4,7.1,4.4,7.1,0.0,0.0,1.1,1.8,2.9,5.5,8.5,1.6,0.8,2.0,2.1,3.0,9.9,26.4,.620,.620,13.7,25.8,19.8,12.9,1.9,9.6,20.8,20.5,314,114.7,84.9,1.8,2.3,4.2,3.6,10.2,13.9
16,17,Daniel Ochefu,SR,2015-16,F,Villanova,Big East,37,865,23.4,4.1,6.6,4.1,6.6,0.0,0.0,1.8,2.6,2.1,5.5,7.5,1.7,0.8,1.5,1.4,2.5,10.0,27.2,.642,.627,11.3,25.8,19.1,14.6,2.0,7.5,14.7,20.6,379,125.2,87.2,2.9,2.5,5.4,4.7,9.1,13.8
17,18,Jeff Withey,JR,2011-12,C,Kansas,Big 12,39,968,24.8,2.9,5.4,2.9,5.4,0.0,0.0,3.2,4.0,2.1,4.2,6.3,0.7,0.6,3.6,1.3,2.5,9.0,25.2,.614,.536,10.2,19.9,15.2,5.6,1.5,15.3,14.9,17.6,346,122.4,86.0,2.7,2.6,5.4,2.7,11.1,13.8
18,19,Jordan Bell,JR,2016-17,F,Oregon,Pac-12,39,1124,28.8,4.4,6.9,4.3,6.5,0.1,0.4,2.1,3.0,2.9,5.9,8.8,1.8,1.3,2.2,1.9,1.8,10.9,26.3,.658,.641,12.3,22.3,17.6,11.4,2.5,8.4,18.8,18.0,446,123.7,89.0,3.2,3.0,6.2,4.6,9.0,13.6
19,20,Draymond Green,JR,2010-11,F,Michigan State,Big Ten,34,1023,30.1,4.3,10.1,3.2,7.2,1.1,3.0,2.9,4.2,2.5,6.2,8.6,4.1,1.8,1.1,2.3,3.4,12.6,24.9,.519,.480,9.6,23.6,16.6,30.6,3.6,4.0,16.1,24.7,467,110.1,92.5,2.6,2.2,4.8,6.3,7.3,13.6
22,21,Marcus Smart,SO,2013-14,G,Oklahoma State,Big 12,31,1014,32.7,5.3,12.5,3.7,7.2,1.6,5.3,5.9,8.1,1.4,4.5,5.9,4.8,2.9,0.6,2.6,2.9,18.0,26.9,.552,.486,5.1,14.9,10.2,30.1,5.0,1.9,14.0,29.2,589,114.3,92.3,3.1,2.5,5.6,8.0,5.5,13.5
23,22,Mikal Bridges,SO,2016-17,G,Villanova,Big East,36,1073,29.8,3.6,6.5,2.3,3.4,1.2,3.1,1.4,1.6,1.1,3.4,4.6,2.0,1.7,0.9,1.3,2.3,9.8,21.0,.676,.644,5.2,13.5,9.7,12.0,3.5,3.5,15.1,15.3,349,130.4,93.3,3.1,2.4,5.5,6.5,6.9,13.4
24,23,Brice Johnson,SR,2015-16,F,North Carolina,ACC,40,1121,28.0,6.7,10.9,6.7,10.9,0.0,0.0,3.6,4.6,2.9,7.5,10.4,1.5,1.1,1.5,1.8,2.7,17.0,33.0,.649,.614,11.7,28.5,20.4,9.7,2.2,5.5,11.8,25.0,613,130.2,92.3,5.0,2.6,7.6,7.3,6.2,13.4
25,24,Kelly Olynyk,JR,2012-13,F,Gonzaga,WCC,32,845,26.4,6.7,10.7,6.4,9.8,0.3,0.9,4.1,5.3,2.4,4.9,7.3,1.7,0.7,1.1,2.4,2.3,17.8,36.2,.675,.642,11.8,22.6,17.4,15.1,1.6,5.1,15.4,30.7,516,127.1,89.9,4.7,1.9,6.7,8.7,4.7,13.4
26,25,Otto Porter,SO,2012-13,F,Georgetown,Big East,31,1097,35.4,5.4,11.3,4.0,8.0,1.4,3.3,3.9,5.1,1.8,5.7,7.5,2.7,1.8,0.9,1.5,2.0,16.2,27.3,.590,.541,6.7,20.9,13.9,18.5,3.3,3.0,10.0,24.1,477,122.3,85.3,4.2,3.0,7.1,7.2,6.1,13.3
27,26,Isaiah Wilkins,JR,2016-17,F,Virginia,ACC,33,874,26.5,2.7,4.9,2.6,4.7,0.1,0.2,1.2,1.7,2.4,3.6,6.0,1.1,1.0,1.3,1.0,1.8,6.8,20.5,.592,.568,11.7,17.4,14.6,8.4,2.5,6.8,15.2,14.8,247,120.2,88.4,1.9,2.4,4.3,3.5,9.8,13.3
28,27,Delon Wright,JR,2013-14,G,Utah,Pac-12,33,1202,36.4,5.3,9.4,4.9,7.8,0.4,1.6,4.6,5.8,1.3,5.5,6.8,5.3,2.5,1.3,2.5,1.8,15.5,27.0,.639,.581,4.6,17.0,11.3,28.6,4.1,3.8,17.3,21.4,556,125.2,90.2,4.2,3.2,7.3,6.2,6.8,13.1
29,28,Seth Tuttle,SR,2014-15,F,Northern Iowa,MVC,35,1062,30.3,5.2,8.7,4.7,7.4,0.5,1.3,4.3,5.6,1.3,5.5,6.9,3.3,0.9,0.6,2.8,2.1,15.3,30.9,.675,.635,6.7,23.1,15.6,28.7,2.2,2.5,20.0,28.9,543,122.1,90.3,4.8,2.6,7.4,7.8,5.2,13.0
30,29,Justin Jackson,SR,2013-14,F,Cincinnati,AAC,34,944,27.8,4.7,8.9,4.7,8.9,0.0,0.0,1.7,3.7,3.2,4.0,7.3,1.7,1.6,2.9,2.0,3.1,11.1,25.8,.524,.532,13.6,17.4,15.5,14.8,3.7,12.0,15.7,23.5,382,107.1,84.6,1.6,3.0,4.6,1.9,11.1,12.9
31,30,K.J. McDaniels,JR,2013-14,F,Clemson,ACC,36,1212,33.7,5.8,12.6,4.6,8.8,1.2,3.8,4.3,5.1,2.4,4.7,7.1,1.6,1.1,2.8,2.3,2.2,17.1,28.4,.566,.505,8.8,15.9,12.5,12.8,2.3,8.9,13.3,29.1,579,114.4,90.8,3.6,3.1,6.7,5.6,7.3,12.9
32,31,Kemba Walker,JR,2010-11,G,Connecticut,Big East,41,1543,37.6,7.7,18.0,5.9,12.5,1.8,5.5,6.3,7.7,1.3,4.1,5.4,4.5,1.9,0.2,2.3,1.4,23.5,29.9,.543,.478,3.9,11.5,7.9,28.0,3.1,0.5,9.5,32.4,930,121.2,98.9,7.3,2.4,9.7,10.2,2.7,12.9
33,32,Pierce Hornung,JR,2011-12,F,Colorado State,MWC,26,708,27.2,3.7,5.7,3.5,5.1,0.2,0.6,1.3,2.3,3.6,5.2,8.7,1.7,1.9,0.5,1.4,3.0,8.8,26.3,.654,.667,18.3,25.0,21.7,14.0,4.3,2.1,17.1,16.4,265,129.2,95.8,2.5,1.3,3.8,8.1,4.7,12.8
34,33,Draymond Green,SR,2011-12,F,Michigan State,Big Ten,37,1229,33.2,5.7,12.8,4.3,9.1,1.4,3.6,3.4,4.7,2.1,8.5,10.6,3.8,1.5,0.9,3.0,2.8,16.2,26.1,.542,.504,8.2,30.7,19.8,24.2,2.7,3.3,16.8,28.2,610,109.6,83.6,3.5,3.6,7.1,5.5,7.2,12.7
35,34,T.J. McConnell,SR,2014-15,G,Arizona,Pac-12,38,1158,30.5,4.1,8.2,3.4,6.2,0.7,2.1,1.5,1.8,0.7,3.2,3.8,6.3,2.2,0.1,2.1,1.8,10.4,22.9,.570,.538,2.8,12.5,7.8,39.0,4.3,0.3,18.4,18.9,476,119.8,88.2,3.5,3.0,6.5,7.0,5.7,12.7
36,35,Jon Diebler,SR,2010-11,G,Ohio State,Big Ten,37,1320,35.7,3.9,7.7,0.8,1.6,3.1,6.1,1.7,2.1,0.4,2.3,2.6,2.4,1.0,0.1,0.9,1.0,12.6,19.6,.723,.706,1.3,7.9,4.6,11.6,1.7,0.4,9.8,14.4,408,144.7,98.4,4.7,2.1,6.8,9.8,2.7,12.6
37,36,Anthony Gill,JR,2014-15,F,Virginia,ACC,34,859,25.3,4.2,7.2,4.2,7.1,0.0,0.0,3.3,4.8,3.0,3.5,6.5,0.9,0.9,0.5,1.1,2.2,11.6,29.3,.614,.582,15.5,16.3,15.9,8.0,2.3,2.4,10.8,24.3,387,127.3,86.7,3.8,2.4,6.1,7.5,5.1,12.6
38,37,Daniel Ochefu,JR,2014-15,F,Villanova,Big East,36,864,24.0,3.6,5.6,3.6,5.6,0.0,0.0,2.0,2.9,2.6,5.8,8.5,1.5,0.9,1.4,1.8,2.1,9.2,26.6,.660,.644,14.0,28.1,21.3,13.2,2.2,6.3,20.8,19.6,348,121.7,85.8,2.7,2.5,5.2,4.3,8.3,12.6
39,38,Jeff Withey,SR,2012-13,C,Kansas,Big 12,37,1144,30.9,5.0,8.6,5.0,8.6,0.0,0.0,3.7,5.2,2.1,6.4,8.5,0.9,0.8,3.9,2.0,2.1,13.7,27.2,.621,.583,8.8,22.3,16.1,6.2,1.4,13.7,15.1,21.5,467,117.8,84.2,3.4,3.2,6.6,2.7,9.9,12.6
40,39,Gary Payton,SR,2015-16,G,Oregon State,Pac-12,32,1096,34.3,6.4,13.2,5.7,11.0,0.7,2.2,2.5,3.8,2.4,5.4,7.8,5.0,2.5,0.5,2.3,2.7,16.0,25.9,.532,.512,7.8,18.0,12.8,32.9,4.3,1.7,13.3,25.6,558,112.7,97.2,3.0,2.1,5.0,6.8,5.7,12.5
41,40,Cody Zeller,FR,2011-12,F,Indiana,Big Ten,36,1025,28.5,5.6,8.9,5.6,8.9,0.0,0.0,4.5,6.0,2.4,4.1,6.6,1.3,1.4,1.2,1.7,2.7,15.6,31.3,.665,.623,11.3,18.4,14.9,9.5,2.9,4.3,12.4,24.3,531,132.1,96.3,5.1,1.8,6.8,8.3,4.2,12.5
44,41,Frank Kaminsky,JR,2013-14,C,Wisconsin,Big Ten,38,1032,27.2,5.2,9.8,4.2,7.2,1.0,2.6,2.7,3.5,2.1,4.2,6.3,1.3,0.7,1.7,1.0,2.5,13.9,29.0,.611,.578,10.0,18.4,14.3,11.4,1.6,6.1,8.3,25.5,508,127.5,97.7,4.2,2.0,6.2,7.5,4.9,12.4
45,42,Erik Murphy,SR,2012-13,F,Florida,SEC,36,952,26.4,4.6,8.8,2.6,4.4,2.0,4.4,1.1,1.4,1.6,3.9,5.5,1.4,0.6,0.7,1.4,2.8,12.2,24.4,.643,.629,7.8,19.2,13.5,11.0,1.5,3.1,13.0,22.5,394,124.6,87.0,3.6,2.4,6.0,7.8,4.6,12.4
46,43,Kenrich Williams,JR,2016-17,G,Texas Christian,Big 12,37,1211,32.7,4.3,8.7,3.1,5.3,1.2,3.4,1.6,2.7,3.3,6.4,9.7,2.7,1.5,0.6,1.2,2.5,11.4,22.6,.572,.565,12.0,22.9,17.5,15.3,2.7,2.1,10.7,17.0,450,125.5,98.0,3.4,2.2,5.6,7.1,5.3,12.4
47,44,Markieff Morris,JR,2010-11,C,Kansas,Big 12,38,926,24.4,5.1,8.7,4.5,7.2,0.7,1.6,2.7,4.0,2.7,5.6,8.3,1.4,0.8,1.1,2.1,2.8,13.6,29.1,.642,.627,13.9,24.7,19.7,11.0,1.9,4.9,16.2,25.5,485,121.5,88.1,3.6,2.4,6.0,6.7,5.6,12.3
48,45,Shabazz Napier,SR,2013-14,G,Connecticut,AAC,40,1404,35.1,5.3,12.4,3.2,7.0,2.2,5.4,5.2,6.0,1.0,4.9,5.9,4.9,1.8,0.3,2.9,2.1,18.0,25.5,.591,.517,3.4,15.0,9.7,30.8,3.2,1.0,15.8,27.5,745,118.9,94.9,4.9,3.1,7.9,8.2,4.1,12.3
49,46,Gary Payton,JR,2014-15,G,Oregon State,Pac-12,31,1125,36.3,5.2,10.8,4.4,7.8,0.9,3.0,2.1,3.2,2.1,5.4,7.5,3.2,3.1,1.2,1.9,2.7,13.4,25.0,.547,.525,7.0,18.4,12.7,22.3,5.4,4.6,13.4,22.0,422,110.9,86.2,2.5,3.2,5.7,4.4,7.9,12.3
50,47,Justin Anderson,JR,2014-15,G,Virginia,ACC,26,724,27.8,4.0,8.5,2.2,4.5,1.8,4.0,2.5,3.2,0.7,3.4,4.0,1.7,0.7,0.5,1.2,1.2,12.2,23.8,.610,.572,3.1,14.4,9.0,14.0,1.6,2.5,10.7,23.3,283,123.5,89.4,2.5,1.8,4.4,7.6,4.6,12.2
51,48,Lonzo Ball,FR,2016-17,G,UCLA,Pac-12,36,1263,35.1,5.3,9.5,3.0,4.1,2.2,5.4,1.8,2.7,0.9,5.1,6.0,7.6,1.8,0.8,2.5,1.8,14.6,24.7,.673,.668,3.2,14.3,9.3,31.4,2.8,2.1,18.6,18.1,609,131.3,100.7,4.8,2.0,6.8,8.7,3.5,12.2
52,49,Trey Burke,SO,2012-13,G,Michigan,Big Ten,39,1378,35.3,6.6,14.4,4.7,9.3,1.9,5.1,3.4,4.3,0.5,2.6,3.2,6.7,1.6,0.5,2.2,1.9,18.6,28.7,.569,.530,1.9,9.6,5.7,37.3,2.8,1.5,11.9,28.3,776,123.4,100.0,6.7,1.8,8.6,9.9,2.3,12.2
53,50,Jevon Carter,JR,2016-17,G,West Virginia,Big 12,37,1184,32.0,4.5,10.2,2.5,5.2,1.9,5.0,2.6,3.4,1.0,3.9,5.0,3.7,2.5,0.2,1.8,2.6,13.5,21.2,.572,.534,3.4,14.8,8.8,20.5,4.3,0.9,13.3,19.9,494,120.4,89.6,3.2,3.1,6.3,6.7,5.5,12.2
54,51,Kentavious Caldwell-Pope,SO,2012-13,G,Georgia,SEC,32,1086,33.9,5.8,13.4,3.2,6.4,2.6,7.0,4.2,5.3,1.2,5.9,7.1,1.8,2.0,0.5,2.0,2.2,18.5,27.7,.579,.530,4.3,21.3,12.9,16.8,3.8,1.9,11.1,29.2,521,115.7,91.0,3.9,2.4,6.2,8.9,3.2,12.1
55,52,Josh Hart,SR,2016-17,G,Villanova,Big East,36,1193,33.1,6.6,12.9,4.5,7.8,2.1,5.1,3.5,4.7,1.4,5.0,6.4,2.9,1.5,0.3,2.0,2.3,18.7,28.1,.619,.590,5.9,17.5,12.2,18.8,2.8,1.0,11.5,27.8,648,125.0,94.6,5.1,2.6,7.7,8.2,4.0,12.1
56,53,Jordan Adams,SO,2013-14,G,UCLA,Pac-12,36,1082,30.1,5.8,11.9,4.3,7.9,1.4,4.1,4.4,5.3,1.9,3.5,5.3,2.3,2.6,0.1,1.5,2.2,17.4,28.3,.603,.545,7.5,13.1,10.4,14.7,5.0,0.6,9.4,26.5,594,125.1,96.9,4.2,2.2,6.4,8.7,3.3,12.0
57,54,Reggie Bullock,JR,2012-13,G,North Carolina,ACC,35,1100,31.4,4.9,10.2,2.4,4.4,2.5,5.8,1.6,2.1,2.0,4.4,6.5,2.9,1.3,0.3,1.2,1.4,13.9,23.7,.625,.607,6.7,17.2,11.5,16.6,2.2,0.9,9.9,18.5,460,130.4,98.2,4.1,1.6,5.7,8.9,3.1,12.0
58,55,Rick Jackson,SR,2010-11,F,Syracuse,Big East,35,1245,35.6,5.5,9.4,5.5,9.4,0.0,0.0,2.1,3.9,3.4,6.9,10.3,2.2,1.3,2.5,2.1,2.0,13.1,24.9,.584,.588,11.6,20.6,16.4,12.2,2.3,8.0,15.5,19.1,462,116.2,90.8,3.1,2.9,6.0,4.1,8.0,12.0
59,56,Marcus Smart,FR,2012-13,G,Oklahoma State,Big 12,33,1106,33.5,4.6,11.3,3.4,7.4,1.2,4.0,5.1,6.5,1.5,4.3,5.8,4.2,3.0,0.7,3.4,2.8,15.4,24.0,.532,.455,5.4,15.3,10.3,26.8,5.3,2.2,18.9,27.2,537,105.3,86.4,2.5,2.9,5.4,5.4,6.7,12.0
60,57,Steven Adams,FR,2012-13,C,Pittsburgh,Big East,32,749,23.4,3.1,5.5,3.1,5.5,0.0,0.0,1.0,2.2,2.8,3.5,6.3,0.6,0.7,2.0,1.1,1.6,7.2,23.2,.555,.571,15.3,21.0,18.0,5.4,1.9,11.2,14.4,17.7,228,112.9,87.6,1.6,1.9,3.5,3.0,8.8,11.9
61,58,A.J. Hammons,SR,2015-16,C,Purdue,Big Ten,33,813,24.6,6.0,10.2,5.8,9.8,0.2,0.3,2.7,3.8,2.3,5.8,8.2,1.1,0.3,2.5,2.0,2.4,15.0,31.0,.623,.601,11.5,24.9,18.7,10.5,0.7,10.4,14.1,28.6,431,117.7,88.7,2.7,2.2,4.9,3.9,8.0,11.9
62,59,Pierce Hornung,SR,2012-13,F,Colorado State,MWC,33,1027,31.1,3.3,6.0,3.0,5.2,0.3,0.8,1.6,2.4,4.0,4.8,8.9,2.2,1.2,0.5,1.3,2.3,8.4,21.8,.589,.571,15.2,20.2,17.6,13.8,2.4,1.9,15.7,13.9,326,127.8,96.4,3.1,1.7,4.8,7.0,4.9,11.9
63,60,Casey Prather,JR,2012-13,F,Florida,SEC,29,497,17.1,2.7,4.4,2.7,4.1,0.1,0.2,0.7,1.2,1.4,2.3,3.7,1.0,0.9,0.6,1.0,1.9,6.2,23.0,.628,.630,10.3,17.2,13.7,11.9,3.2,3.7,17.2,19.1,177,118.4,83.8,1.4,1.4,2.8,4.6,7.3,11.9
66,61,Jordan Campbell,SR,2010-11,G,Belmont,A-Sun,35,746,21.3,2.8,5.8,0.6,1.0,2.2,4.8,0.5,0.8,1.0,2.1,3.1,2.2,1.4,0.4,1.1,1.9,8.4,22.7,.682,.681,5.6,11.6,8.6,19.0,3.7,2.2,15.0,16.5,278,133.3,88.7,2.6,1.9,4.5,7.9,3.9,11.8
67,62,Kris Dunn,SO,2014-15,G,Providence,Big East,33,1123,34.0,5.6,11.8,4.8,9.5,0.8,2.3,3.6,5.2,0.8,4.6,5.5,7.5,2.7,0.3,4.2,3.1,15.6,24.5,.546,.509,2.9,16.1,9.5,50.0,4.9,1.1,22.6,28.0,574,105.3,94.2,2.5,2.3,4.8,6.7,5.1,11.8
68,63,Jordan Taylor,JR,2010-11,G,Wisconsin,Big Ten,34,1241,36.5,5.7,13.2,3.5,8.0,2.2,5.1,4.5,5.4,0.9,3.1,4.1,4.7,0.7,0.1,1.2,2.4,18.1,28.1,.576,.517,3.2,11.7,7.3,30.4,1.4,0.5,7.3,27.5,622,130.1,104.7,6.6,1.2,7.8,10.8,1.0,11.8
69,64,Tai Wesley,SR,2010-11,F,Utah State,WAC,34,993,29.2,5.2,8.6,5.0,8.4,0.1,0.2,4.3,6.0,2.8,5.1,8.0,2.1,0.8,1.1,2.2,3.2,14.8,28.7,.642,.607,12.6,19.8,16.4,16.9,1.7,4.1,16.3,25.2,494,123.7,87.8,4.2,2.6,6.8,5.9,5.8,11.8
70,65,Aaron White,SR,2014-15,F,Iowa,Big Ten,34,1070,31.5,5.0,9.6,4.4,7.9,0.6,1.7,5.7,7.0,2.1,5.2,7.3,1.4,1.3,0.5,1.2,1.6,16.4,29.3,.633,.553,7.7,18.5,13.2,10.2,2.6,1.7,8.5,23.5,509,133.9,94.2,5.0,2.2,7.2,8.5,3.3,11.8
71,66,Derrick White,SR,2016-17,G,Colorado,Pac-12,34,1116,32.8,6.0,11.9,4.4,7.6,1.7,4.2,4.4,5.4,1.0,3.1,4.1,4.4,1.2,1.4,2.4,2.1,18.1,27.3,.627,.578,3.5,10.5,7.0,28.6,2.2,4.9,14.2,25.3,602,124.9,104.0,4.5,1.4,5.9,8.6,3.2,11.8
72,67,Derrick Williams,SO,2010-11,F,Arizona,Pac-10,38,1141,30.0,5.9,10.0,4.8,8.1,1.1,1.9,6.5,8.7,2.8,5.5,8.3,1.1,1.0,0.7,2.6,2.8,19.5,32.8,.690,.650,11.8,21.9,17.0,8.7,1.9,2.3,15.7,28.9,675,128.8,97.3,6.0,1.9,7.9,9.2,2.6,11.8
73,68,Nigel Williams-Goss,JR,2016-17,G,Gonzaga,WCC,38,1248,32.8,5.8,11.9,4.7,8.8,1.1,3.1,4.1,4.8,0.6,5.4,6.0,4.7,1.7,0.1,2.1,1.6,16.8,25.2,.594,.533,2.2,15.6,9.8,25.6,2.9,0.2,13.1,24.6,661,122.0,86.3,4.5,3.6,8.1,6.3,5.5,11.8
74,69,Aaron Craft,SO,2011-12,G,Ohio State,Big Ten,39,1255,32.2,2.9,5.9,2.4,4.3,0.6,1.6,2.4,3.3,0.6,2.7,3.2,4.6,2.5,0.2,2.2,2.5,8.8,18.3,.592,.550,2.1,10.7,6.3,24.6,4.7,0.6,22.4,15.1,393,114.5,88.0,2.6,3.1,5.7,5.3,6.4,11.7
75,70,Gorgui Dieng,FR,2010-11,C,Louisville,Big East,29,451,15.6,2.3,3.8,2.3,3.8,0.0,0.0,1.0,1.8,1.8,2.6,4.4,0.7,0.4,1.9,0.9,2.2,5.7,24.2,.609,.618,13.4,18.3,15.9,8.2,1.7,13.7,16.7,17.9,160,116.3,89.1,1.1,1.1,2.2,1.7,10.0,11.7
76,71,Dorian Finney-Smith,JR,2014-15,F,Florida,SEC,28,782,27.9,4.9,10.4,3.1,6.3,1.8,4.1,1.6,2.7,2.6,3.6,6.2,1.6,1.1,0.9,1.9,2.6,13.1,23.9,.564,.557,11.3,16.3,13.7,14.0,2.6,3.6,14.2,26.5,345,109.9,93.4,1.9,1.7,3.6,6.6,5.1,11.7
77,72,John Flowers,SR,2010-11,F,West Virginia,Big East,33,984,29.8,3.2,6.7,2.5,4.7,0.6,2.0,2.3,3.0,2.2,4.0,6.2,1.7,0.8,2.2,1.5,3.1,9.2,19.6,.569,.520,8.5,15.0,11.7,11.5,1.7,8.0,15.8,16.5,302,117.0,97.8,2.2,1.6,3.8,4.0,7.7,11.7
78,73,P.J. Hairston,SO,2012-13,G,North Carolina,ACC,34,804,23.6,4.7,10.9,2.1,4.2,2.6,6.6,2.6,3.3,1.9,2.4,4.3,1.4,1.3,0.4,1.1,1.9,14.6,27.1,.586,.551,8.4,12.5,10.2,11.2,3.0,1.7,8.4,27.0,437,123.2,98.1,3.4,1.2,4.6,10.1,1.6,11.7
79,74,Kevarrius Hayes,SO,2016-17,F,Florida,SEC,36,659,18.3,2.1,3.6,2.1,3.5,0.0,0.0,1.9,2.8,1.9,2.5,4.4,0.2,0.7,1.6,0.8,2.4,6.2,21.8,.631,.602,11.8,15.4,13.6,2.0,2.1,9.2,13.7,15.2,226,126.2,90.8,1.7,1.6,3.3,3.2,8.5,11.7
