Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,All_Rookie,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2010,NBA,2,44,MIL,Jerome Jordan,23.274,C,jm,University of Tulsa,2012,2015,,65,7.6,2.8,2,0.3,0.1,0.3,0.528,0.528,,0.852,1.7,0.168
2012,NBA,1,27,MIA,Arnett Moultrie,21.228,F,us,Mississippi State University,2013,2014,,59,12.4,3.6,3.1,0.2,0.4,0.2,0.547,0.547,,0.667,1.7,0.113
2012,NBA,1,28,OKC,Perry Jones,20.283,F,us,Baylor University,2013,2015,,143,11.7,3.4,1.8,0.4,0.3,0.2,0.42,0.466,0.293,0.66,1.7,0.048
2015,NBA,1,20,TOR,Delon Wright,23.065,G,us,University of Utah,2016,2017,,54,12.5,4.7,1.6,1.6,0.6,0.3,0.436,0.461,0.349,0.756,1.7,0.12
2016,NBA,2,38,MIL,Patrick McCaw,20.247,G,us,"University of Nevada, Las Vegas",2017,2017,,71,15.1,4,1.4,1.1,0.5,0.2,0.433,0.533,0.333,0.784,1.7,0.077
2015,NBA,2,44,PHO,Andrew Harrison,20.245,G,us,University of Kentucky,2017,2017,,72,20.5,5.9,1.9,2.8,0.8,0.3,0.325,0.363,0.276,0.763,1.6,0.051
2016,NBA,1,9,TOR,Jakob Poeltl,20.257,C,at,University of Utah,2017,2017,,54,11.6,3.1,3.1,0.2,0.3,0.4,0.583,0.583,,0.544,1.6,0.126
2016,NBA,1,27,TOR,Pascal Siakam,22.145,F,cm,New Mexico State University,2017,2017,,55,15.6,4.2,3.4,0.3,0.5,0.8,0.502,0.515,0.143,0.688,1.6,0.089
2015,NBA,1,30,GSW,Kevon Looney,19.144,F-C,us,"University of California, Los Angeles",2016,2017,,58,8.1,2.5,2.3,0.5,0.2,0.3,0.526,0.553,0.273,0.618,1.5,0.155
2016,NBA,1,3,BOS,Jaylen Brown,19.247,F,us,University of California,2017,2017,,78,17.2,6.6,2.8,0.8,0.4,0.2,0.454,0.507,0.341,0.685,1.5,0.053
2012,NBA,2,36,SAC,Orlando Johnson,23.115,G,us,"University of California, Santa Barbara",2013,2016,,103,10.8,3.2,1.7,0.7,0.2,0.1,0.358,0.398,0.311,0.727,1.4,0.059
2012,NBA,2,53,LAC,Furkan Aldemir,20.329,F-C,tr,,2015,2015,,41,13.2,2.3,4.3,0.7,0.4,0.4,0.513,0.548,0,0.481,1.4,0.122
2015,NBA,1,25,MEM,Jarell Martin,21.037,F,us,Louisiana State University,2016,2017,,69,13.6,4.6,3.6,0.3,0.4,0.2,0.419,0.429,0.333,0.759,1.4,0.073
2016,NBA,1,7,DEN,Jamal Murray,19.125,G,ca,University of Kentucky,2017,2017,,82,21.5,9.9,2.6,2.1,0.7,0.3,0.405,0.468,0.334,0.883,1.4,0.038
2011,NBA,2,36,NJN,Jordan Williams,20.26,F,us,University of Maryland,2012,2012,,43,14.8,4.6,3.6,0.3,0.5,0.3,0.507,0.507,,0.652,1.3,0.101
2012,NBA,2,31,CHA,Jeff Taylor,23.042,F,se,Vanderbilt University,2013,2015,,132,19.4,6.1,2,0.8,0.5,0.2,0.409,0.458,0.319,0.665,1.3,0.024
2014,NBA,1,21,OKC,Mitch McGary,22.025,F-C,us,University of Michigan,2015,2016,,52,10.7,4.4,3.5,0.3,0.3,0.3,0.527,0.544,0,0.58,1.3,0.108
